id,name,nickname,abbrev,conference_name,conference_id,division_id,url
144,Nebraska,Cornhuskers,NEB,BIG12,5,North,www.huskers.com
145,Nevada,Wolfpack,NEV,MWC,17,None,www.nevadawolfpack.com
146,Norfolk State,Spartans,NFST,MDEAS,15,None,www.nsu.edu/athletics/
147,New Hampshire,Wildcats,NHMP,COL,11,None,www.unhwildcats.com/
148,Nicholls State,Colonels,NICST,STHLN,23,None,www.colonelsports.com
149,Northern Iowa,Panthers,NIOWA,MVC,16,None,none
150,Northern Illinois,Huskies,NIU,MAC,14,West,www.niuhuskies.com
151,New Mexico,Lobos,NMEX,MWC,17,None,www.golobos.com
152,New Mexico St,Aggies,NMSU,MWC,17,None,www.nmstatesports.com
153,Northern Arizona,Lumberjacks,NOAZ,BIGSK,9,None,none
154,North Texas,Mean Green,NOTX,SUNB,24,None,www.meangreensports.com
155,Northwestern St,Demons,NWST,STHLN,23,None,www.nsudemons.com
156,Northwestern,Wildcats,NWU,BIG10,4,None,www.nusports.com
157,Ohio,Bobcats,OHIO,MAC,14,East,www.ohiobobcats.com
158,Oklahoma,Sooners,OKLA,BIG12,5,South,www.soonersports.com
159,Oklahoma St,Cowboys,OKST,BIG12,5,South,www.okstate.com
160,Oregon,Ducks,ORE,PAC12,7,None,www.goducks.com
161,Oregon State,Beavers,ORST,PAC12,7,None,www.osubeavers.com
162,Ohio State,Buckeyes,OSU,BIG10,4,None,www.ohiostatebuckeyes.com
163,Penn,Quakers,PENN,IVY,13,NULL,none
164,Pittsburgh,Panthers,PITT,AAC,2,None,www.pittsburghpanthers.com
165,Presbyterian,Blue Hose,PRBYT,BIGSO,10,None,none
166,Princeton,Tigers,PRCTN,IVY,13,NULL,none
167,Portland State,Vikings,PRTST,BIGSK,9,None,www.goviks.com
168,Penn State,Nittany Lions,PSU,BIG10,4,None,www.gopsusports.com
169,Purdue,Boilermakers,PUR,BIG10,4,None,www.purduesports.com
170,Prarie View A&M,Panthers,PVAM,SWEST,25,NULL,none
171,Rhode Island,Rams,RI,COL,11,None,www.google.com
172,Rice,Owls,RICE,CUSA,12,West,www.riceowls.com
173,Richmond,Spiders,RICH,COL,11,None,none
174,Robert Morris,Colonials,ROBMO,NEC,18,NULL,none
175,Rutgers,Scarlet Knights,RUT,AAC,2,None,www.scarletknights.com
176,Sacremento State,Wildcats,SACST,BIGSK,9,None,www.google.com
177,Sacred Heart,Pioneers,SAHRT,NEC,18,NULL,none
178,Samford,Bulldogs,SAMF,SOCON,22,None,www.samfordsports.com
179,Savannah State,Tigers,SAVST,OTHER,1,NULL,none
180,South Carolina State,Bulldogs,SCST,MDEAS,15,None,www.scsusports.com
181,South Dakota State,Jacks,SDKST,MVC,16,None,www.gojacks.com
182,San Diego St,Aztecs,SDST,MWC,17,None,www.goaztecs.com
183,SE Louisiana,Lions,SELA,STHLN,23,None,www.lionsports.net
184,SE Missouri St,Redhawks,SEMO,OVC,19,None,www.gosoutheast.com
185,Stephen Austin,Lumberjacks,SFA,STHLN,23,None,www.sfajacks.com
186,Sam Houston State,Bearkats,SHST,STHLN,23,None,www.gobearkats.com
187,San Jose St,Spartans,SJST,MWC,17,None,www.sjsuspartans.com
188,Southern Miss,Eagles,SMISS,CUSA,12,East,www.southernmiss.com
189,SMU,Mustangs,SMU,CUSA,12,West,www.smumustangs.com
190,San Diego,Toreros,SNDGO,PIONF,21,NULL,none
191,South Carolina,Gamecocks,SOCAR,SEC,6,East,www.uscsports.com
192,South Florida,Bulls,SOFL,AAC,2,None,www.gousfbulls.com
193,Southern Illinois,Salukis,SOILL,MVC,16,None,www.google.com
194,Southern,Snakes,SOUTH,SWEST,25,None,none
195,Stanford,Cardinal,STAN,PAC12,7,None,www.gostanford.com
196,Stony Brook,Seawolves,STBRK,BIGSO,10,None,http://www.goseawolves.org/
197,St. Francis,Red Flash,STFRN,NEC,18,NULL,none
198,Southern Utah,Thunderbirds,SUTAH,OTHER,1,None,www.suu.edu/athletics
199,Syracuse,Orangemen,SYR,AAC,2,None,www.suathletics.com
200,TCU,Frogs,TCU,MWC,17,None,www.gofrogs.com
201,Temple,Owls,TEMP,MAC,14,East,www.owlsports.com
202,Tennessee,Volunteers,TENN,SEC,6,East,www.utsports.com
203,Texas,Longhorns,TEX,BIG12,5,South,www.texassports.com
204,Tennessee-Martin,Skyhawks,TNMAR,OVC,19,None,www.utmsports.com
205,Tennessee State,Tigers,TNST,OVC,19,None,www.tsutigers.com
206,Tennessee Tech,Golden Eagles,TNTC,OVC,19,None,www.ttusports.com
207,Toledo,Rockets,TOL,MAC,14,West,www.utrockets.com
208,Towson,Snakes,TOWS,COL,11,None,none
209,Troy,Trojans,TROY,SUNB,24,None,www.troytrojans.com
210,Tulane,Green Wave,TUL,CUSA,12,West,www.tulanegreenwave.com
211,Tulsa,Hurricanes,TULSA,CUSA,12,West,www.tulsahurricane.com
212,Texas A&M,Aggies,TXAM,BIG12,5,South,www.aggieathletics.com
213,Texas Southern,Tigers,TXSO,SWEST,25,None,none
214,Texas State,Bobcats,TXST,STHLN,23,None,www.txstatebobcats.com
215,Texas Tech,Red Raiders,TXTC,BIG12,5,South,www.texastech.com
216,UAB,Blazers,UAB,CUSA,12,East,www.uabsports.com
217,UCLA,Bruins,UCLA,PAC12,7,None,www.uclabruins.com
218,Connecticut,Huskies,UCONN,AAC,2,None,www.uconnhuskies.com
219,Maryland Eastern Shore,Hawks,UMES,MEAC,15,None,www.umeshawks.com
220,North Carolina,Tar Heels,UNC,ACC,3,Coastal,www.tarheelblue.com
221,UNLV,Rebels,UNLV,MWC,17,None,www.unlvrebels.com
222,USC,Trojans,USC,PAC12,7,None,www.usctrojans.com
223,Utah,Utes,UTAH,MWC,17,None,www.utahutes.com
224,UTEP,Miners,UTEP,CUSA,12,West,www.utepathletics.com
225,Utah St,Aggies,UTST,MWC,17,None,www.utahstateaggies.com
226,Virginia,Cavaliers,VA,ACC,3,Coastal,www.virginiasports.com
227,Valparaiso,Crusaders,VALPO,PIONF,21,NULL,none
228,Virginia Tech,Hokies,VATC,ACC,3,Coastal,www.hokiesports.com
229,Villinova,Wildcats,VILL,COL,11,None,none
230,VMI,Keydets,VMI,BIGSO,10,None,none
231,Vanderbilt,Commodores,VNDY,SEC,6,East,www.vucommodores.com
232,Wagner,Seahawks,WAGNR,NEC,18,NULL,none
233,Washington,Huskies,WASH,PAC12,7,None,www.gohuskies.com
234,Wash State,Cougars,WAST,PAC12,7,None,www.wsucougars.com
235,Western Carolina,Catamounts,WCAR,SOCON,22,None,none
236,Webster St,Wildcats,WEBST,BIGSK,9,None,none
237,Wake Forest,Deacons,WFST,ACC,3,Atlantic,www.wakeforestsports.com
238,Western Illinois,Leathernecks,WILL,MVC,16,NULL,none
239,Wisconsin,Badgers,WIS,BIG10,4,None,www.uwbadgers.com
240,Western Kentucky,Hilltoppers,WKTY,SUNB,24,None,www.wkusports.com
241,William & Mary,Tribe,WMARY,COL,11,None,none
242,Western Mich,Broncos,WMCH,MAC,14,West,www.wmubroncos.com
243,Wofford,Terriers,WOFF,SOCON,22,None,none
244,West Virginia Tech,Humans,WVTC,OTHER,1,None,www.google.com
245,West Virginia,Mountaineers,WVU,AAC,2,None,www.msnsportsnet.com
246,Wyoming,Cowboys,WY,MWC,17,None,www.wyomingathletics.com
247,Yale,Bulldogs,YALE,IVY,13,NULL,none
248,Youngstown St,Penguins,YNGST,MVC,16,None,none
